"gene","statistic","estimate","p_value","method"
"SREBF1","686975.745952534","0.161002013968485","0.0359559928300393","Spearman's rank correlation rho"
"SRR","664264.056299024","0.188739618958087","0.0137050526332071","Spearman's rank correlation rho"
"STH","688780.418315828","0.15879798203989","0.0386081121058135","Spearman's rank correlation rho"
"STX8","591636.902597359","0.209738863305961","0.00685506549786694","Spearman's rank correlation rho"
"SUPT4H1","618312.539807133","0.217567561655471","0.00461190738581964","Spearman's rank correlation rho"
"SUPT6H","615221.530198773","0.235217629408318","0.00208083869290751","Spearman's rank correlation rho"
"SUZ12","619344.837373723","0.216261259340503","0.00486959927827004","Spearman's rank correlation rho"
"TANC2","568480.676685737","0.254309768171341","0.000945287984832882","Spearman's rank correlation rho"
"TBCD","657422.158264653","0.15304224820842","0.0483209757845009","Spearman's rank correlation rho"
"TBKBP1","578484.727237469","0.293501227719091","0.000102559355600367","Spearman's rank correlation rho"
"TCAP","666968.311140647","0.185436934141039","0.0154779148642884","Spearman's rank correlation rho"
"THRA","629555.125720119","0.174196895514401","0.024793789417027","Spearman's rank correlation rho"
"TIMM22","663604.278855179","0.160253948330922","0.0379818105564429","Spearman's rank correlation rho"
"TLK2","613396.85723751","0.250863322479088","0.000968048944654244","Spearman's rank correlation rho"
"TMC8","643112.885395473","0.171476901538395","0.0267076431784736","Spearman's rank correlation rho"
"TMEM101","598111.091755663","0.269531705649498","0.000378921427115029","Spearman's rank correlation rho"
"TMEM102","669540.721291729","0.182295270190425","0.0173467272537848","Spearman's rank correlation rho"
"TMEM11","670567.280095372","0.181041542131066","0.0181455390513608","Spearman's rank correlation rho"
"TMEM199","661911.051030334","0.177177849149304","0.0211956855898218","Spearman's rank correlation rho"
"TMEM88","663636.812076073","0.175032554228938","0.0228378790821432","Spearman's rank correlation rho"
"TMEM92","651202.332387664","0.190489865760449","0.0131107080510199","Spearman's rank correlation rho"
"TOM1L2","587750.412582271","0.256241853677762","0.000800472730151787","Spearman's rank correlation rho"
"TP53","617391.093469373","0.232520643591352","0.0023490118970206","Spearman's rank correlation rho"
"TRAPPC1","680309.885696664","0.169142975804174","0.0274543756412309","Spearman's rank correlation rho"
"TRIM25","618906.612993357","0.188164814301268","0.0151931758668363","Spearman's rank correlation rho"
"TRPV2","656647.140351987","0.169057733621531","0.0284755547907734","Spearman's rank correlation rho"
"TSR1","632398.93067473","0.213864389295994","0.00523865170586143","Spearman's rank correlation rho"
"TTC19","675866.241856435","0.159830140400235","0.0379185350769636","Spearman's rank correlation rho"
"TUBD1","624244.986366012","0.195784438395998","0.0112229863891187","Spearman's rank correlation rho"
"UBE2G1","677400.262832948","0.157923197711516","0.0403009415042631","Spearman's rank correlation rho"
"UBE2Z","673791.155442007","0.177104248945711","0.0208652029846289","Spearman's rank correlation rho"
"UNK","624731.84805199","0.209444363953425","0.00643542645414159","Spearman's rank correlation rho"
"USP32","676440.435646944","0.173868704212916","0.0233569981364779","Spearman's rank correlation rho"
"USP36","639965.049158068","0.190167784686668","0.0135480938743125","Spearman's rank correlation rho"
"USP43","596270.821418265","0.217856744668475","0.00480795844797583","Spearman's rank correlation rho"
"UTP18","657911.897233288","0.167457269864386","0.0300346319717999","Spearman's rank correlation rho"
"UTP6","689547.421377887","0.157861247332531","0.0397841813231352","Spearman's rank correlation rho"
"VAMP2","659979.478339565","0.193972339763967","0.0112591809969521","Spearman's rank correlation rho"
"VAT1","681637.487153181","0.167521586759752","0.0289950567702419","Spearman's rank correlation rho"
"VPS53","521193.248071395","0.250642327939679","0.0013419168117196","Spearman's rank correlation rho"
"WDR81","636610.748223278","0.20862867557148","0.00648756182532359","Spearman's rank correlation rho"
"WIPF2","623434.287324239","0.225008344532545","0.00326932304405947","Spearman's rank correlation rho"
