"gene","statistic","estimate","p_value","method"
"KRTAP19-8","964158.723525588","-0.177519340411439","0.0205627790771942","Spearman's rank correlation rho"
"CPOX","924506.652905061","-0.169900249676126","0.0276829506669534","Spearman's rank correlation rho"
"GPR149","923985.453984911","-0.212014683428208","0.00610249314639844","Spearman's rank correlation rho"
"MST1R","933938.411041217","-0.160979577148348","0.0365406859246179","Spearman's rank correlation rho"
"PLSCR5","933468.069027249","-0.160394894618927","0.0372361781097203","Spearman's rank correlation rho"
"SCARNA7","969407.85094288","-0.183930057758416","0.0163511503179599","Spearman's rank correlation rho"
"ZCWPW2","897373.875479099","-0.177107614535353","0.0224477175618042","Spearman's rank correlation rho"
"CCKAR","947299.427923586","-0.19874295524368","0.00980629732244205","Spearman's rank correlation rho"
"FAM47E","901156.299723345","-0.160960737376381","0.0377077642458095","Spearman's rank correlation rho"
"FGFBP1","975954.143930644","-0.235003548183402","0.0021671670893488","Spearman's rank correlation rho"
"HAND2","945151.995552942","-0.154306575500812","0.0445246809523415","Spearman's rank correlation rho"
"NCAPG","936828.266387585","-0.185492412960536","0.0160738240604943","Spearman's rank correlation rho"
